,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
67,69.0,18790,-82.6,-87.6,120.0,5.0,-4.330127018922194,2.499999999999999,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
68,67.4,18921,-83.3,-88.3,135.0,10.0,-7.0710678118654755,7.071067811865475,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
69,67.0,18955,-83.1,-88.2,135.0,10.0,-7.0710678118654755,7.071067811865475,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
70,63.0,19304,-81.4,-87.7,135.0,22.0,-15.556349186104047,15.556349186104043,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
71,61.0,19487,-80.5,-87.3,125.0,24.0,-19.6596490629358,13.765834472425109,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
72,57.0,19872,-78.6,-86.7,80.0,21.0,-20.680962813256368,-3.646611731005539,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
73,51.5,20448,-75.7,-85.7,92.0,29.0,-28.982333983553776,1.0120854043725278,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
74,50.0,20620,-72.5,-84.5,95.0,31.0,-30.882035640844112,2.7018280251774054,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
75,49.2,20716,-69.9,-83.9,103.0,32.0,-31.179842073127528,7.198433739003681,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
76,49.0,20740,-68.4,-82.9,105.0,32.0,-30.909626441250186,8.282209443280667,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
77,48.4,20815,-63.9,-79.9,101.0,32.0,-31.412069870325247,6.105887852049434,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
78,46.2,21103,-59.7,-84.7,86.0,34.0,-33.917177708834025,-2.371720107300258,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
79,46.0,21130,-59.8,-84.9,85.0,34.0,-33.87061973511935,-2.9632952534203767,SBBR,83378,2020-01-10,-15.86,-47.93,1061.0,34.53
